Wk;Day;Date;Time;Home;Score;Away;Attendance;Venue;Referee;Match Report;Notes
19;Sun;09.01.11;;Parma;1–2;Cagliari;;;Renzo Candussio;Match Report;
19;Sun;09.01.11;;Cesena;0–0;Genoa;;;Andrea Gervasoni;Match Report;
19;Sun;09.01.11;;Lazio;1–2;Lecce;;;Nicola Pierpaoli;Match Report;
19;Sun;09.01.11;;Bari;0–2;Bologna;;;Carmine Russo;Match Report;
19;Sun;09.01.11;;Napoli;3–0;Juventus;;;Emidio Morganti;Match Report;
19;Sun;09.01.11;;Sampdoria;2–1;Roma;;;Gianluca Rocchi;Match Report;
;;;;;;;;;;;
20;Sat;15.01.11;;Inter;4–1;Bologna;;;Gabriele Gava;Match Report;
20;Sat;15.01.11;;Napoli;0–0;Fiorentina;;;Luca Banti;Match Report;
20;Sun;16.01.11;;Catania;1–1;Chievo;;;Domenico Celi;Match Report;
20;Sun;16.01.11;;Brescia;2–0;Parma;;;Mauro Bergonzi;Match Report;
20;Sun;16.01.11;;Cagliari;3–1;Palermo;;;Paolo Tagliavento;Match Report;
20;Sun;16.01.11;;Lecce;1–1;Milan;;;Andrea De Marco;Match Report;
20;Sun;16.01.11;;Lazio;1–0;Sampdoria;;;Nicola Rizzoli;Match Report;
20;Sun;16.01.11;;Genoa;2–4;Udinese;;;Marco Guida;Match Report;
20;Sun;16.01.11;;Cesena;0–1;Roma;;;Antonio Giannoccaro;Match Report;
20;Sun;16.01.11;;Juventus;2–1;Bari;;;Christian Brighi;Match Report;
;;;;;;;;;;;
16;Wed;19.01.11;;Inter;3–2;Cesena;;;Carmine Russo;Match Report;
;;;;;;;;;;;
21;Sat;22.01.11;;Parma;2–0;Catania;;;Sebastiano Peruzzo;Match Report;
21;Sat;22.01.11;;Palermo;1–0;Brescia;;;Andrea Gervasoni;Match Report;
21;Sat;22.01.11;;Roma;3–0;Cagliari;;;Gabriele Gava;Match Report;
21;Sun;23.01.11;;Milan;2–0;Cesena;;;Andrea Romeo;Match Report;
21;Sun;23.01.11;;Udinese;3–1;Inter;;;Emidio Morganti;Match Report;
21;Sun;23.01.11;;Bologna;3–1;Lazio;;;Gianluca Rocchi;Match Report;
21;Sun;23.01.11;;Sampdoria;0–0;Juventus;;;Paolo Valeri;Match Report;
21;Sun;23.01.11;;Chievo;0–0;Genoa;;;Antonio Damato;Match Report;
21;Sun;23.01.11;;Bari;0–2;Napoli;;;Paolo Mazzoleni;Match Report;
21;Sun;23.01.11;;Fiorentina;1–1;Lecce;;;Davide Massa;Match Report;
;;;;;;;;;;;
22;Sat;29.01.11;;Lazio;2–0;Fiorentina;;;Andrea De Marco;Match Report;
22;Sat;29.01.11;;Catania;0–2;Milan;;;Paolo Tagliavento;Match Report;
22;Sun;30.01.11;;Inter;3–2;Palermo;;;Nicola Rizzoli;Match Report;
22;Sun;30.01.11;;Cagliari;2–1;Bari;;;Daniele Orsato;Match Report;
22;Sun;30.01.11;;Lecce;1–1;Cesena;;;Mauro Bergonzi;Match Report;
22;Sun;30.01.11;;Juventus;1–2;Udinese;;;Antonio Giannoccaro;Match Report;
22;Sun;30.01.11;;Genoa;3–1;Parma;;;Nicola Pierpaoli;Match Report;
22;Sun;30.01.11;;Brescia;0–3;Chievo;;;Christian Brighi;Match Report;
22;Sun;30.01.11;;Napoli;4–0;Sampdoria;;;Gianluca Rocchi;Match Report;
;;;;;;;;;;;
23;Tue;01.02.11;;Milan;0–0;Lazio;;;Antonio Damato;Match Report;
23;Wed;02.02.11;;Udinese;1–1;Bologna;;;Daniele Doveri;Match Report;
23;Wed;02.02.11;;Chievo;2–0;Napoli;;;Daniele Orsato;Match Report;
23;Wed;02.02.11;;Palermo;2–1;Juventus;;;Emidio Morganti;Match Report;
23;Wed;02.02.11;;Sampdoria;0–1;Cagliari;;;Sebastiano Peruzzo;Match Report;
23;Wed;02.02.11;;Parma;0–1;Lecce;;;Carmine Russo;Match Report;
23;Wed;02.02.11;;Cesena;1–1;Catania;;;Andrea Gervasoni;Match Report;
23;Wed;02.02.11;;Fiorentina;1–0;Genoa;;;Domenico Celi;Match Report;
23;Wed;02.02.11;;Roma;1–1;Brescia;;;Andrea De Marco;Match Report;
23;Thu;03.02.11;;Bari;0–3;Inter;;;Andrea Romeo;Match Report;
;;;;;;;;;;;
24;Sat;05.02.11;;Cagliari;1–3;Juventus;;;Gianluca Rocchi;Match Report;
24;Sat;05.02.11;;Udinese;2–0;Sampdoria;;;Nicola Pierpaoli;Match Report;
24;Sun;06.02.11;;Genoa;1–1;Milan;;;Paolo Mazzoleni;Match Report;
24;Sun;06.02.11;;Napoli;2–0;Cesena;;;Domenico Celi;Match Report;
24;Sun;06.02.11;;Bologna;1–0;Catania;;;Luca Banti;Match Report;
24;Sun;06.02.11;;Inter;5–3;Roma;;;Paolo Tagliavento;Match Report;
24;Sun;06.02.11;;Lecce;2–4;Palermo;;;Christian Brighi;Match Report;
24;Sun;06.02.11;;Parma;1–1;Fiorentina;;;Gabriele Gava;Match Report;
24;Sun;06.02.11;;Lazio;1–1;Chievo;;;Leonardo Baracani;Match Report;
24;Sun;06.02.11;;Brescia;2–0;Bari;;;Nicola Rizzoli;Match Report;
;;;;;;;;;;;
25;Sat;12.02.11;;Roma;0–2;Napoli;;;Mauro Bergonzi;Match Report;
25;Sat;12.02.11;;Milan;4–0;Parma;;;Andrea De Marco;Match Report;
25;Sun;13.02.11;;Brescia;0–2;Lazio;;;Antonio Giannoccaro;Match Report;
25;Sun;13.02.11;;Cesena;0–3;Udinese;;;Daniele Orsato;Match Report;
25;Sun;13.02.11;;Palermo;2–4;Fiorentina;;;Carmine Russo;Match Report;
25;Sun;13.02.11;;Sampdoria;3–1;Bologna;;;Andrea Gervasoni;Match Report;
25;Sun;13.02.11;;Cagliari;4–1;Chievo;;;Riccardo Tozzi;Match Report;
25;Sun;13.02.11;;Catania;3–2;Lecce;;;Andrea Romeo;Match Report;
25;Sun;13.02.11;;Juventus;1–0;Inter;;;Paolo Valeri;Match Report;
25;Sun;13.02.11;;Bari;0–0;Genoa;;;Sebastiano Peruzzo;Match Report;
;;;;;;;;;;;
17;Wed;16.02.11;;Fiorentina;1–2;Inter;;;Antonio Damato;Match Report;
17;Wed;16.02.11;;Sampdoria;0–1;Genoa;;;Emidio Morganti;Match Report;
;;;;;;;;;;;
26;Sat;19.02.11;;Bologna;1–0;Palermo;;;Andrea De Marco;Match Report;
26;Sat;19.02.11;;Inter;1–0;Cagliari;;;Domenico Celi;Match Report;
26;Sun;20.02.11;;Fiorentina;0–0;Sampdoria;;;Nicola Rizzoli;Match Report;
26;Sun;20.02.11;;Genoa;4–3;Roma;;;Daniele Orsato;Match Report;
26;Sun;20.02.11;;Lazio;1–0;Bari;;;Nicola Pierpaoli;Match Report;
26;Sun;20.02.11;;Napoli;1–0;Catania;;;Gabriele Gava;Match Report;
26;Sun;20.02.11;;Udinese;0–0;Brescia;;;Mauro Bergonzi;Match Report;
26;Sun;20.02.11;;Lecce;2–0;Juventus;;;Paolo Mazzoleni;Match Report;
26;Sun;20.02.11;;Parma;2–2;Cesena;;;Paolo Tagliavento;Match Report;
26;Sun;20.02.11;;Chievo;1–2;Milan;;;Luca Banti;Match Report;
;;;;;;;;;;;
22;Wed;23.02.11;;Bologna;0–1;Roma;;;Luca Banti;Match Report;
;;;;;;;;;;;
27;Sat;26.02.11;;Juventus;0–2;Bologna;;;Andrea Romeo;Match Report;
27;Sun;27.02.11;;Brescia;2–2;Lecce;;;Emidio Morganti;Match Report;
27;Sun;27.02.11;;Roma;2–2;Parma;;;Christian Brighi;Match Report;
27;Sun;27.02.11;;Cesena;1–0;Chievo;;;Paolo Valeri;Match Report;
27;Sun;27.02.11;;Sampdoria;0–2;Inter;;;Andrea Gervasoni;Match Report;
27;Sun;27.02.11;;Palermo;0–7;Udinese;;;Sebastiano Peruzzo;Match Report;
27;Sun;27.02.11;;Cagliari;1–0;Lazio;;;Carmine Russo;Match Report;
27;Sun;27.02.11;;Catania;2–1;Genoa;;;Antonio Giannoccaro;Match Report;
27;Sun;27.02.11;;Bari;1–1;Fiorentina;;;Marco Guida;Match Report;
27;Mon;28.02.11;;Milan;3–0;Napoli;;;Gianluca Rocchi;Match Report;
;;;;;;;;;;;
28;Fri;04.03.11;;Lecce;1–2;Roma;;;Antonio Damato;Match Report;
28;Sat;05.03.11;;Juventus;0–1;Milan;;;Nicola Rizzoli;Match Report;
28;Sun;06.03.11;;Chievo;0–0;Parma;;;Daniele Orsato;Match Report;
28;Sun;06.03.11;;Udinese;1–0;Bari;;;Davide Massa;Match Report;
28;Sun;06.03.11;;Fiorentina;3–0;Catania;;;Domenico Celi;Match Report;
28;Sun;06.03.11;;Sampdoria;2–3;Cesena;;;Nicola Pierpaoli;Match Report;
28;Sun;06.03.11;;Napoli;0–0;Brescia;;;Paolo Mazzoleni;Match Report;
28;Sun;06.03.11;;Bologna;2–2;Cagliari;;;Emilio Ostinelli;Match Report;
28;Sun;06.03.11;;Inter;5–2;Genoa;;;Carmine Russo;Match Report;
28;Sun;06.03.11;;Lazio;2–0;Palermo;;;Gabriele Gava;Match Report;
;;;;;;;;;;;
29;Fri;11.03.11;;Brescia;1–1;Inter;;;Gianluca Rocchi;Match Report;
29;Sat;12.03.11;;Cesena;2–2;Juventus;;;Mauro Bergonzi;Match Report;
29;Sun;13.03.11;;Milan;1–1;Bari;;;Christian Brighi;Match Report;
29;Sun;13.03.11;;Cagliari;0–4;Udinese;;;Luca Banti;Match Report;
29;Sun;13.03.11;;Genoa;1–0;Palermo;;;Andrea Romeo;Match Report;
29;Sun;13.03.11;;Catania;1–0;Sampdoria;;;Nicola Rizzoli;Match Report;
29;Sun;13.03.11;;Chievo;0–1;Fiorentina;;;Andrea De Marco;Match Report;
29;Sun;13.03.11;;Roma;2–0;Lazio;;;Paolo Tagliavento;Match Report;
29;Sun;13.03.11;;Lecce;0–1;Bologna;;;Sebastiano Peruzzo;Match Report;
29;Sun;13.03.11;;Parma;1–3;Napoli;;;Emidio Morganti;Match Report;
;;;;;;;;;;;
30;Sat;19.03.11;;Palermo;1–0;Milan;;;Paolo Tagliavento;Match Report;
30;Sat;19.03.11;;Lazio;1–0;Cesena;;;Antonio Giannoccaro;Match Report;
30;Sun;20.03.11;;Napoli;2–1;Cagliari;;;Antonio Damato;Match Report;
30;Sun;20.03.11;;Inter;1–0;Lecce;;;Daniele Orsato;Match Report;
30;Sun;20.03.11;;Juventus;2–1;Brescia;;;Domenico Celi;Match Report;
30;Sun;20.03.11;;Bologna;1–1;Genoa;;;Daniele Doveri;Match Report;
30;Sun;20.03.11;;Bari;1–2;Chievo;;;Andrea Gervasoni;Match Report;
30;Sun;20.03.11;;Sampdoria;0–1;Parma;;;Paolo Valeri;Match Report;
30;Sun;20.03.11;;Fiorentina;2–2;Roma;;;Paolo Mazzoleni;Match Report;
30;Sun;20.03.11;;Udinese;2–0;Catania;;;Carmine Russo;Match Report;
;;;;;;;;;;;
31;Sat;02.04.11;;Milan;3–0;Inter;;;Nicola Rizzoli;Match Report;
31;Sat;02.04.11;;Brescia;3–1;Bologna;;;Andrea Romeo;Match Report;
